Iteracao,x,f(x),Problema,Metodo
0,5.158550770549103,-6.406624496488273,B,Subst_g1_y
1,11.565175267037377,1.404776417881544,B,Subst_g1_y
2,10.160398849155834,-0.22533130906393628,B,Subst_g1_y
3,10.385730158219772,0.03816701414099877,B,Subst_g1_y
4,10.347563144078773,-0.0064061872519299845,B,Subst_g1_y
5,10.353969331330704,0.0010769025131281973,B,Subst_g1_y
6,10.352892428817576,-0.00018098448680736734,B,Subst_g1_y
7,10.353073413304385,3.0417610989652566e-05,B,Subst_g1_y
8,10.353042995693395,-5.112174786936485e-06,B,Subst_g1_y
9,10.353048107868183,8.591852594941329e-07,B,Subst_g1_y
10,10.353047248682923,-1.444002201145267e-07,B,Subst_g1_y
