Iteracao,x,f(x),Problema,Metodo
0,0.037578944834085984,-6.406624496488273,B,Wegstein_f
1,0.007476452224541699,1.4047764178815423,B,Wegstein_f
2,0.007325259652056685,1.5412927326520491,B,Wegstein_f
3,0.009720738658578651,-0.2461517166217998,B,Wegstein_f
4,0.009793422381235383,-0.2903404562605537,B,Wegstein_f
5,0.009253999838892158,0.04928993845041385,B,Wegstein_f
6,0.009241556608162166,0.05745651375119076,B,Wegstein_f
7,0.009344499607054883,-0.009637474873047558,B,Wegstein_f
8,0.009347011887796429,-0.011261669717205769,B,Wegstein_f
9,0.009326691445838848,0.0018934424699100783,B,Wegstein_f
10,0.009326200938802464,0.0022114943093441974,B,Wegstein_f
11,0.009330185790099834,-0.00037164974459569233,B,Wegstein_f
12,0.009330282186362825,-0.00043411823830508123,B,Wegstein_f
13,0.009329499743056469,7.296180410920616e-05,B,Wegstein_f
14,0.009329480823224419,8.522398025301303e-05,B,Wegstein_f
15,0.009329634420455283,-1.4323250498882167e-05,B,Wegstein_f
16,0.00932963813481401,-1.6730518334617805e-05,B,Wegstein_f
17,0.009329607981466143,2.811840571603774e-06,B,Wegstein_f
18,0.009329607252295933,3.2844162781708874e-06,B,Wegstein_f
19,0.00932961317177434,-5.520001472580915e-07,B,Wegstein_f
