Iteracao,x,f(x),Problema,Metodo
0,5.158550770549103,-6.406624496488273,B,Wegstein_y
1,11.565175267037377,1.404776417881544,B,Wegstein_y
2,11.817805596202257,1.6950062199284122,B,Wegstein_y
3,10.122799376273846,-0.26938175254981045,B,Wegstein_y
4,10.085858339358792,-0.31268416949627775,B,Wegstein_y
5,10.398542508855071,0.05312459191860841,B,Wegstein_y
6,10.406257529828332,0.06213009749963805,B,Wegstein_y
7,10.344127432328696,-0.0104197288780149,B,Wegstein_y
8,10.34263093322853,-0.012167974374865387,B,Wegstein_y
9,10.354798907603397,0.0020458847320000695,B,Wegstein_y
10,10.355093383882158,0.0023898435206511914,B,Wegstein_y
11,10.352703540361507,-0.00040161952134309953,B,Wegstein_y
12,10.352645757672823,-0.00046911389147330507,B,Wegstein_y
13,10.353114871564298,7.884358231857735e-05,B,Wegstein_y
14,10.35312621607691,9.20947135082395e-05,B,Wegstein_y
15,10.353034121363404,-1.547798325629568e-05,B,Wegstein_y
16,10.353031894330217,-1.8079306542850837e-05,B,Wegstein_y
17,10.35304997363676,3.038526901755212e-06,B,Wegstein_y
18,10.353050410833395,3.549201607833119e-06,B,Wegstein_y
19,10.353046861631789,-5.965016679487789e-07,B,Wegstein_y
20,10.353046775804556,-6.967535813862114e-07,B,Wegstein_y
