Iteracao,x,f(x),Problema,Metodo
0,0.2,-0.07569643792193403,A,Wegstein
1,0.16758001150890983,0.026978195054704113,A,Wegstein
2,0.16469266674304997,0.0365074444271023,A,Wegstein
3,0.10619346115492947,0.2475038969946577,A,Wegstein
